Etapas ; IF ;ID ;EX ;MEM ;WB 
 1 ;lw $t1 0($sp) ; ; ; ; ;
 2 ;j END ;lw $t1 0($sp) ; ; ; ;
 3 ;add $t0 $t0 $t5 ;j END ;lw $t1 0($sp) ; ; ;
 4 ;addi $t2 $zero 3 ; ;j END ;lw $t1 0($sp) ; ;
 5 ;lw $t1 0($sp) ;addi $t2 $zero 3 ; ;j END ;lw $t1 0($sp) ;
 6 ; ;lw $t1 0($sp) ;addi $t2 $zero 3 ; ;j END ;
 7 ;add $t0 $t1 $t5 ; ;lw $t1 0($sp) ;addi $t2 $zero 3 ; ;
 8 ;j FIN ;add $t0 $t1 $t5 ; ;lw $t1 0($sp) ;addi $t2 $zero 3 ;
 9 ;addi $t2 $zero 3 ;j FIN ;add $t0 $t1 $t5 ; ;lw $t1 0($sp) ;
 10 ;sub $t3 $t2 $t1 ; ;j FIN ;add $t0 $t1 $t5 ; ;
 11 ;lw $t1 0($sp) ;sub $t3 $t2 $t1 ; ;j FIN ;add $t0 $t1 $t5 ;
 12 ; ;lw $t1 0($sp) ;sub $t3 $t2 $t1 ; ;j FIN ;
 13 ;add $t0 $t1 $t5 ; ;lw $t1 0($sp) ;sub $t3 $t2 $t1 ; ;
 14 ; ;add $t0 $t1 $t5 ; ;lw $t1 0($sp) ;sub $t3 $t2 $t1 ;
 15 ; ; ;add $t0 $t1 $t5 ; ;lw $t1 0($sp) ;
 16 ; ; ; ;add $t0 $t1 $t5 ; ;
 17 ; ; ; ; ;add $t0 $t1 $t5 ;
