Etapas ; Hazar de datos ; Hazar de control 
 1 ;  ;  
 2 ;  ;  
 3 ;  ;  
 4 ;  ;  
 5 ; $t1 ;  
 6 ;  ;  
 7 ;  ;  
Etapas ; Hazar de datos ; Hazar de control 
 1 ;  ;  
 2 ;  ;  
 3 ;  ;  
 4 ;  ;  
 5 ; $t1 ;  
 6 ;  ;  
 7 ; $t2 ;  
 8 ; $t2 ;  
 9 ;  ;  
 10 ;  ;  
 11 ;  ;  
Etapas ; Hazar de datos ; Hazar de control 
 1 ;  ;  
 2 ;  ;  
 3 ;  ; H.C 
 4 ;  ;  
 5 ;  ;  
 6 ;  ;  
 7 ;  ;  
 8 ; $t1 ; H.C 
 9 ;  ;  
 10 ;  ;  
 11 ;  ;  
 12 ;  ;  
 13 ; $t1 ;  
 14 ;  ;  
 15 ;  ;  
Etapas ; Hazar de datos ; Hazar de control 
 1 ;  ;  
 2 ;  ;  
 3 ;  ;  
 4 ;  ; H.C 
 5 ;  ;  
 6 ;  ;  
 7 ;  ;  
 8 ; $t2 ;  
 9 ; $t2 ;  
 10 ; $t2 ;  
 11 ;  ;  
 12 ;  ; H.C 
 13 ;  ;  
 14 ;  ;  
 15 ;  ;  
 16 ; $t2 ;  
 17 ; $t2 ;  
 18 ;  ;  
 19 ;  ;  
Etapas ; Hazar de datos ; Hazar de control 
 1 ;  ;  
 2 ;  ;  
 3 ;  ;  
 4 ;  ;  
 5 ; $t1 ;  
 6 ;  ;  
 7 ;  ;  
