Ciclo ; IF ;ID ;EX ;MEM ;WB 
 1 ;addi $t0 $zero 2 ; ; ; ; ;
 2 ;addi $t1 $zero 2 ;addi $t0 $zero 2 ; ; ; ;
 3 ;beq $t0 $t1 NEXT;addi $t1 $zero 2 ;addi $t0 $zero 2 ; ; ;
 4 ;addi $t1 $t0 3 ;beq $t0 $t1 NEXT;addi $t1 $zero 2 ;addi $t0 $zero 2 ; ;
 5 ;subi $t2 $t1 1 ;addi $t1 $t0 3 ;beq $t0 $t1 NEXT;addi $t1 $zero 2 ;addi $t0 $zero 2 ;
 6 ; ; ; ;beq $t0 $t1 NEXT;addi $t1 $zero 2 ;
 7 ;add $t1 $t0 1 ; ; ; ;beq $t0 $t1 NEXT;
 8 ; ;add $t1 $t0 1 ; ; ; ;
 9 ; ; ;add $t1 $t0 1 ; ; ;
 10 ; ; ; ;add $t1 $t0 1 ; ;
 11 ; ; ; ; ;add $t1 $t0 1 ;
